serial_no,song_name,album,track_number,id,url,acousticness,energy,danceability,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,1,6dODwocEuGzHAavXqTbwHv,spotify:track:6dODwocEuGzHAavXqTbwHv,0.502,0.504,0.386,1.53E-05,0.0961,-10.976,0.0308,192.004,0.281,82
1,The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2,4PdLaGZubp4lghChqp8erB,spotify:track:4PdLaGZubp4lghChqp8erB,0.0483,0.604,0.428,0,0.126,-8.441,0.0255,110.259,0.292,79
2,My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,3,7uGYWMwRy24dm7RUDDhUlD,spotify:track:7uGYWMwRy24dm7RUDDhUlD,0.137,0.596,0.563,0,0.302,-7.362,0.0269,97.073,0.481,80
3,Down Bad,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,4,1kbEbBdEgQdQeLXCJh28pJ,spotify:track:1kbEbBdEgQdQeLXCJh28pJ,0.56,0.541,0.366,1.00E-06,0.0946,-10.412,0.0748,159.707,0.168,82
4,"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,5,7wAkQFShJ27V8362MqevQr,spotify:track:7wAkQFShJ27V8362MqevQr,0.73,0.423,0.533,0.00264,0.0816,-11.388,0.322,160.218,0.248,80
5,But Daddy I Love Him,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,6,4QMgEffJQuKtjCNvqfRZ0m,spotify:track:4QMgEffJQuKtjCNvqfRZ0m,0.384,0.521,0.72,0,0.135,-7.684,0.104,79.943,0.438,81
6,Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,7,7IWcDWOfiooH5hRs9XOVYz,spotify:track:7IWcDWOfiooH5hRs9XOVYz,0.624,0.33,0.483,0,0.111,-9.394,0.0399,87.115,0.34,78
7,Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,8,5ExOm0dh4NyRyAdSAO9hyM,spotify:track:5ExOm0dh4NyRyAdSAO9hyM,0.178,0.533,0.573,0,0.309,-7.123,0.138,150.088,0.398,79
8,Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,9,799KrpEbhZp0MHeiA8YK9P,spotify:track:799KrpEbhZp0MHeiA8YK9P,0.607,0.626,0.428,0,0.0921,-8.374,0.0261,94.95,0.487,82
9,Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,10,2d8UxVNhJinc8uat9PoM9y,spotify:track:2d8UxVNhJinc8uat9PoM9y,0.315,0.606,0.338,0,0.106,-10.555,0.048,119.88,0.238,81
10,I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,11,5chnRTB9qMK3W1M41SnU9s,spotify:track:5chnRTB9qMK3W1M41SnU9s,0.768,0.661,0.257,1.72E-06,0.176,-13.961,0.045,106.896,0.318,77
11,loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,12,3YkNIrAvbKNrrwwEd7NVLl,spotify:track:3YkNIrAvbKNrrwwEd7NVLl,0.858,0.423,0.272,0,0.108,-12.56,0.0489,78.539,0.195,80
12,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,13,2fPvQfGQEZOKtJ9qXeL4x8,spotify:track:2fPvQfGQEZOKtJ9qXeL4x8,0.123,0.701,0.751,0,0.15,-8.39,0.0502,129.994,0.22,82
13,The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,14,1xtw1krCR6Dw2KwkXw5z63,spotify:track:1xtw1krCR6Dw2KwkXw5z63,0.52,0.426,0.41,0,0.338,-9.083,0.0581,142.377,0.263,81
14,The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,15,1tuNqJOtRQVHvONR8Lg3MZ,spotify:track:1tuNqJOtRQVHvONR8Lg3MZ,0.422,0.64,0.421,0,0.103,-8.802,0.0273,100.056,0.353,78
15,Clara Bow,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,16,4d9PtIEVij9jW5OaLinH66,spotify:track:4d9PtIEVij9jW5OaLinH66,0.636,0.686,0.318,0.00144,0.106,-11.046,0.0263,104.088,0.214,76
16,The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,17,62E2nR0od0M5HYxuYLaDz7,spotify:track:62E2nR0od0M5HYxuYLaDz7,0.707,0.527,0.27,0,0.102,-10.855,0.038,154.042,0.23,79
17,imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,18,1kcwpPDQnqEqmezzXdJTCP,spotify:track:1kcwpPDQnqEqmezzXdJTCP,0.608,0.784,0.391,0,0.252,-9.471,0.0633,110.007,0.15,81
18,The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19,4EF6IyONolQy0bIQXm2EmX,spotify:track:4EF6IyONolQy0bIQXm2EmX,0.655,0.352,0.479,0,0.0935,-8.942,0.0583,172.013,0.292,77
19,Chloe or Sam or Sophia or Marcus,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,20,1rmEsOezwf2lmIZTMAO5Ag,spotify:track:1rmEsOezwf2lmIZTMAO5Ag,0.78,0.516,0.451,0,0.105,-8.552,0.0446,70.266,0.218,77
20,How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,21,5Bedn0svl0ZD7RGmJkmKKw,spotify:track:5Bedn0svl0ZD7RGmJkmKKw,0.785,0.492,0.379,0.00093,0.108,-8.859,0.0257,83.993,0.273,80
21,So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,22,7Mts0OfPorF4iwOomvfqn1,spotify:track:7Mts0OfPorF4iwOomvfqn1,0.0274,0.366,0.866,3.07E-06,0.106,-4.514,0.0466,176.07,0.293,82
22,I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,23,3hlGuz3loYoLfI3bpwieWq,spotify:track:3hlGuz3loYoLfI3bpwieWq,0.717,0.485,0.562,0,0.357,-7.197,0.0346,105.953,0.297,78
23,thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,24,7ogK4lJDVDMU6A6vYR5rvD,spotify:track:7ogK4lJDVDMU6A6vYR5rvD,0.609,0.609,0.541,0,0.122,-8.013,0.0346,95.997,0.252,76
24,I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,25,1Zai5UJ2di3qEuR2HeT2s8,spotify:track:1Zai5UJ2di3qEuR2HeT2s8,0.69,0.763,0.274,0,0.164,-11.429,0.0738,90.796,0.385,76
25,The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,26,18WFFUIsewmA8g31KAeo3e,spotify:track:18WFFUIsewmA8g31KAeo3e,0.825,0.421,0.525,2.67E-06,0.308,-10.359,0.0472,167.927,0.535,81
26,Cassandra,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,27,0g4fMVo4JjwnIpTfFfLdxS,spotify:track:0g4fMVo4JjwnIpTfFfLdxS,0.806,0.587,0.587,0,0.137,-9.879,0.0595,139.963,0.514,76
